cEE,cH2,cNG,cCO2,TRL,EI,Technology
0.2,0.175,0.035,350,Medium: 6 - 7,0.27,3
0.2,0.175,0.075,80,Medium: 6 - 7,0.27,3
0.2,0.175,0.075,150,Medium: 6 - 7,0.27,3
0.2,0.175,0.075,250,Medium: 6 - 7,0.27,3
0.2,0.175,0.075,350,Medium: 6 - 7,0.27,3
0.2,0.175,0.1,80,Medium: 6 - 7,0.27,3
0.2,0.175,0.1,150,High: 9,0.47,1
0.2,0.175,0.1,250,High: 9,0.47,1
0.2,0.175,0.1,350,High: 9,0.47,1
0.2,0.2,0.01,80,High: 9,0.47,1
0.2,0.2,0.01,150,High: 9,0.47,1
0.2,0.2,0.01,250,High: 9,0.47,1
0.2,0.2,0.01,350,High: 9,0.47,1
0.2,0.2,0.035,80,High: 9,0.47,1
0.2,0.2,0.035,150,Medium: 6 - 7,0.27,3
0.2,0.2,0.035,250,Medium: 6 - 7,0.27,3
0.2,0.2,0.035,350,Medium: 6 - 7,0.27,3
0.2,0.2,0.075,80,Medium: 6 - 7,0.27,3
0.2,0.2,0.075,150,Medium: 6 - 7,0.27,3
0.2,0.2,0.075,250,Medium: 6 - 7,0.27,3
0.2,0.2,0.075,350,Medium: 6 - 7,0.27,3
0.2,0.2,0.1,80,Medium: 6 - 7,0.27,3
0.2,0.2,0.1,150,Medium: 6 - 7,0.27,3
0.2,0.2,0.1,250,Medium: 6 - 7,0.27,3
0.2,0.2,0.1,350,Medium: 6 - 7,0.27,3
